Title,SMILES,A549-hACE2_Cytotoxicity: CC50 (µM),P5_SARS-CoV2_nLuc inhibition: EC50 (µM),SI,Actividad
MWAC-0003626,CN(CCCN(CC1=CC2=C(N=CS2)C=C1)C1=NC2=CC=CC=C2S1)C,49.4,12.62,3.91442155309033,0
MWAC-0003625,CN(CCN(CC1=CC2=C(N=CS2)C=C1)C1=NC2=CC=CC=C2S1)C,50,6.65,7.5187969924812,0
MWAC-0003567,COC1=C(OC)C=C2C(=C1)N=CN=C2N(C)C1CN(CCCN2C3=C(C=CC=C3)NC2=O)CC1,50,10.57,4.73036896877956,0
MWAC-0003566,COC1=C(OC)C=C2C(=C1)N=CN=C2N(C)[C@H]1CN(CCCCN2C3=C(C=CC=C3)OCC2=O)CC1,50,10.46,4.78011472275335,0
MWAC-0003565,COC1=C(OC)C=C2C(=C1)N=CN=C2N(C)[C@H]1CN(CCCN2C3=C(C=CC=C3)OCC2=O)CC1,50,15.97,3.13087038196619,0
MWAC-0002904,OC1C2=CC=CC=C2N(CCC2=CC=C(C(F)(F)F)C=C2)C1=O,50,26.85,1.86219739292365,0
MWAC-0002902,O=C1N(CC(N(C)CC2=CC=C(F)C=C2)=O)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002900,O=C1N(CC2=CC3=C(C(=O)C4=C(C3=O)C=CC=C4)C=C2)C2=CC=CC=C2C(C(O)=O)=C1O,50,50,1,0
MWAC-0002898,OC1C2=CC=CC=C2N(CC2=CC(F)=C(F)C=C2)C1=O,50,50,1,0
MWAC-0002895,OC1C2=CC=CC=C2N(CCC2=CC=C(Cl)C=C2)C1=O,50,35.32,1.41562853907135,0
MWAC-0002894,OC1C2=CC=CC=C2N(CCC2=CC=C(F)C=C2)C1=O,50,50,1,0
MWAC-0002893,OC1C2=CC=CC=C2N(CC2=CC=C(C)C=C2)C1=O,50,39.84,1.25502008032129,0
MWAC-0002891,O=C1C2=CC=CC=C2N(CCC2=CC=C(C(F)(F)F)C=C2)C1=O,50,34.49,1.44969556393157,0
MWAC-0002890,O=C1C2=CC=CC=C2N(CCC2=CC=C(C)C=C2)C1=O,50,20.52,2.43664717348928,0
