CatalogID,Canonical SMILES
Z1274959211,O=C(CCc1ccccn1)N1Cc2ccccc2CC1c1ccccc1
Z1414858569,COc1ccc2c(c1)CN(CC(=O)NC(N)=O)C(c1ccccc1)C2
Z1892525750,COc1ccc2c(c1)CN(C(=O)Cn1ccc(C)cc1=O)C(c1ccccc1)C2
Z1972520657,COc1ccc2c(c1)CN(C(=O)c1cncnc1N)C(c1ccccc1)C2
Z2033200515,Cc1nn(C)c(N)c1C(=O)N1Cc2ccccc2CC1c1ccccc1
Z1927394892,COc1ccc2c(c1)CN(C(=O)c1ccn(CC(F)F)n1)C(c1ccccc1)C2
Z2072729929,COc1ccc2c(c1)CN(C(=O)c1ccoc1CC(N)=O)C(c1ccccc1)C2
Z2131783197,COc1ccc2c(c1)CN(C(=O)Cn1cc(Cl)cn1)C(c1ccccc1)C2
Z2033345310,COc1ccc2c(c1)CN(C(=O)c1c(C)nn(C)c1N)C(c1ccccc1)C2
Z2197421464,COc1ccc2c(c1)CN(C(=O)CC1CCN(C)CC1)C(c1ccccc1)C2
Z1927394919,COc1ccc2c(c1)CN(C(=O)c1n[nH]nc1C)C(c1ccccc1)C2
Z2131783088,COc1ccc2c(c1)CN(C(=O)COCc1ncnn1C)C(c1ccccc1)C2
Z2197421416,COCc1nocc1C(=O)N1Cc2cc(OC)ccc2CC1c1ccccc1
Z2033345318,COc1ccc2c(c1)CN(C(=O)Cc1ccc(Cl)cn1)C(c1ccccc1)C2
Z2223000257,COc1ccc2c(c1)CN(C(=O)C(C)(F)F)C(c1ccccc1)C2
Z2072729848,COCc1ncc(C(=O)N2Cc3cc(OC)ccc3CC2c2ccccc2)s1
Z2197421454,COc1ccc2c(c1)CN(C(=O)c1cccc(CO)c1)C(c1ccccc1)C2
Z1952454049,COc1ccc2c(c1)CN(C(=O)CCc1c[nH]cn1)C(c1ccccc1)C2
Z2429437645,COc1ccc2c(c1)CN(C(=O)C(C)N)C(c1ccccc1)C2
Z1289643387,O=C(CN1Cc2ccccc2CC1c1ccccc1)NC1CC1
Z1864421681,C#CCCCC(=O)N1Cc2ccccc2CC1c1ccccc1
Z2707548000,CN1C(=O)CN(CC(=O)N2Cc3cc(Cl)ccc3CC2c2ccccc2)C1=O
Z1396015111,O=C(O)CCN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1414865071,CNC(=O)Cc1noc(CN2Cc3cc(OC)ccc3CC2c2ccccc2)n1
Z2418623826,COc1ccc([C@@H]2[C@@H](C(=O)O)c3ccccc3C(=O)N2Cc2ccc(F)cc2)cc1
Z2466878781,COc1ccc2c(c1)CN(C(=O)C(C)C(=O)O)C(c1ccccc1)C2
Z2506973565,CC(CC(=O)O)CC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1603760307,O=C(O)CCC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1429645511,O=C(NCCc1ccncc1)N1Cc2ccccc2CC1c1ccccc1
Z1658963117,O=C(NCCC1CCOC1)N1Cc2ccccc2CC1c1ccccc1
Z1658782671,CC1CC(CCNC(=O)N2Cc3ccccc3CC2c2ccccc2)CCO1
Z2466878787,COc1ccc2c(c1)CN(C(=O)CCC(=O)O)C(c1ccccc1)C2
Z2361457869,CC(C(=O)O)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z2483084895,CC(O)(CN1Cc2cc(Cl)ccc2CC1c1ccccc1)C(=O)O
Z1274960733,CN(C)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z1274960945,CS(=O)(=O)CC(=O)N1Cc2ccccc2CC1c1ccccc1
Z2257188702,O=C(O)CNC(=O)CN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1933054086,COc1ccc2c(c1)CN(C(=O)CN1CCOCC1=O)C(c1ccccc1)C2
Z2633322570,COc1ccc2c(c1)CN(C(=O)[C@@H]1CC(=O)NC(=O)N1)C(c1ccccc1)C2
Z1906579169,Cn1nnc(CNC(=O)N2Cc3ccccc3CC2c2ccccc2)n1
Z1315661159,CC1(C)C(=O)NC(=O)N1CC(=O)N1Cc2ccccc2CC1c1ccccc1
Z2800560910,COc1ccc2c(c1)CN(C(=O)[C@H]1C[C@@H](O)C1)C(c1ccccc1)C2
Z2478762575,COc1ccc2c(c1)CN(C(=O)N[C@H]1C[C@@H](C(N)=O)C1)C(c1ccccc1)C2
Z1657285385,COC1Cc2ccc(NC(=O)N3Cc4ccccc4CC3c3ccccc3)cc2C1
Z2621192344,COCc1nnc(CNC(=O)N2Cc3ccccc3CC2c2ccccc2)[nH]1
Z1299999268,O=C(CN1Cc2ccccc2CC1c1ccccc1)Nc1ccncc1
Z3672060877,C=CC(=O)N1CCC(C(=O)N2Cc3ccccc3CC2c2ccccc2)CC1
Z1391721161,CS(=O)(=O)NCc1ccc(C(=O)N2Cc3cc(Cl)ccc3CC2c2ccccc2)o1
Z3672056196,C=CC(=O)N1CCC(C(=O)N2Cc3cc(OC)ccc3CC2c2ccccc2)CC1
Z3687637092,O=C(C1CO1)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z2437615607,CN(CCC(=O)O)S(=O)(=O)N1Cc2ccccc2CC1c1ccccc1
Z3759773704,Cc1ccc(S(=O)(=O)N2Cc3ccccc3CC2c2ccccc2)cc1
Z1656497940,CN(C)S(=O)(=O)CC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z2450122553,NCC(=O)NCC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z3827524925,O=C(NC[C@H]1CCCCN1)c1sccc1S(=O)(=O)N1Cc2ccccc2CC1c1ccccc1
Z3952171692,Cc1nn(-c2cncc3nnnn23)c(C)c1CC(=O)N1Cc2ccccc2CC1c1ccccc1
Z3687606573,COc1ccc2c(c1)CN(C(=O)C1CO1)C(c1ccccc1)C2
Z1289642972,CN(C)C(=O)CN1Cc2ccccc2CC1c1ccccc1
Z1274960497,Cc1cc(-n2cncn2)ccc1C(=O)N1Cc2ccccc2CC1c1ccccc1
Z1274959291,CCS(=O)(=O)NCc1ccc(C(=O)N2Cc3ccccc3CC2c2ccccc2)cc1
Z1315661211,Cc1nnc(-c2ccc(C(=O)N3Cc4ccccc4CC3c3ccccc3)cc2)[nH]1
Z1906392261,O=C(NCc1nc(-c2cccc(F)c2)no1)N1Cc2ccccc2CC1c1ccccc1
Z2450025383,COc1ccc2c(c1)CN(C(=O)CNC(=O)[C@@H](N)C(C)C)C(c1ccccc1)C2
Z1562148574,COc1ccc2c(c1)CN(C(=O)CCl)C(c1ccccc1)C2
Z1274960838,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)N1Cc2ccccc2CC1c1ccccc1
Z1596616694,O=C(NC1CCOC2(CCS(=O)(=O)C2)C1)N1Cc2ccccc2CC1c1ccccc1
Z1450487362,COc1ccc2c(c1)CN(C(=O)CN)C(c1ccccc1)C2.Cl
Z1766059551,COc1ccc2c(c1)CN(C(=O)c1coc(CN)c1)C(c1ccccc1)C2.Cl
Z1381287243,Cl.Clc1ccc2c(c1)CNC(c1ccccc1)C2
Z1650875293,Cl.O=C(O)CCCN1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1450522432,Cl.NCCC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z1956150205,COc1ccc2c(c1)CN(C(=O)c1csc(CCN)n1)C(c1ccccc1)C2.Cl
Z3352074472,CC(C(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1)S(N)(=O)=O
Z1414862343,COc1ccc2c(c1)CN(Cc1nc3cccnc3[nH]1)C(c1ccccc1)C2
Z2460757343,O=C(O)C1CCC(CC(=O)N2Cc3ccccc3CC2c2ccccc2)CC1
Z1497240480,CCOC(=O)c1cn[nH]c1S(=O)(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z4669240283,COc1ccc2c(c1)CN(C(=O)c1cc(C)oc1C)C(c1ccccc1)C2
Z4765028221,Cc1c(O)ccc(C(=O)N2Cc3ccccc3CC2c2ccccc2)c1C
Z4765030373,O=C(c1ccc(O)cc1F)N1Cc2ccccc2CC1c1ccccc1
Z4872412020,CC(C)Cn1c(=O)n(C)c(=O)c2cc(C(=O)N3Cc4cc(Cl)ccc4CC3c3ccccc3)cnc21
Z4872406534,C[C@@H](c1ccc(Cl)cc1)N1CC(C(=O)N2Cc3cc(Cl)ccc3CC2c2ccccc2)CC1=O
Z4882039933,N[C@@H](Cc1ccccc1)[C@@H](O)CN1Cc2ccccc2CC1c1ccccc1.O=C(O)C(F)(F)F
Z2257169181,COc1ccc2c(c1)CN(CC1CCNCC1)C(c1ccccc1)C2
Z1507433932,O=C(N[C@H]1CC[C@H](O)CC1)N1Cc2ccccc2CC1c1ccccc1
Z1245753735,Oc1ccc(C2Cc3ccccc3CN2)cc1
Z3024769528,C=CC(=O)N1Cc2cc(Cl)ccc2CC1c1ccccc1
Z3024769626,C=CC(=O)N1Cc2ccccc2CC1c1ccccc1
Z1479403654,C=CC(=O)NCCC(=O)N1Cc2cc(OC)ccc2CC1c1ccccc1
Z3707874284,C=CC(=O)NCC(=O)N1Cc2cc(OC)ccc2CC1c1ccccc1
Z5011984761,O=C(CSc1cccs1)Nc1ccc(C(=O)N2Cc3ccccc3CC2c2ccccc2)cc1
Z5011983293,COC(=O)c1ccc(CN2Cc3ccccc3CC2c2ccccc2)cc1O
Z5046936328,C=C(CN1Cc2ccccc2CC1c1ccccc1)C(=O)O.O=C(O)C(F)(F)F
Z995237210,Clc1ccc2c(c1)CNC(c1ccccc1)C2
Z5027903263,COc1ccc2c(c1)CN(Cc1cc(=O)n3nc(N)[nH]c3n1)C(c1ccccc1)C2
Z5027903247,Nc1nn2c(=O)cc(CN3Cc4ccccc4CC3c3ccccc3)nc2[nH]1
Z1274959114,O=C(C1CCN(c2ccc3nncn3n2)CC1)N1Cc2ccccc2CC1c1ccccc1
Z1415262662,C=CC(=O)Nc1ccc(C(=O)N2Cc3cc(OC)ccc3CC2c2ccccc2)cc1
Z1712743860,CC(NC1=NS(=O)(=O)c2ccccc21)C(=O)N1Cc2ccccc2CC1c1ccccc1
Z5133310536,O=C(Cc1cn[nH]c1)N1Cc2ccccc2CC1c1ccccc1
Z4289017129,O=C(CC[C@H]1CCCO1)N1Cc2ccccc2CC1c1ccccc1
Z5186256020,O=C(O)[C@H]1c2ccccc2C(=O)N(C2CC2)[C@@H]1c1ccc(Cl)cc1
